,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
1475,CHEMBL396360,19000.0,nM,N=C1NC(=O)/C(=C/c2ccc(-c3ccccc3[N+](=O)[O-])o2)S1,4.721246399,315.031376768,6,2,2.993470000000001,True
1476,CHEMBL1760057,19500.0,nM,c1ccc2ncc(Nc3ccnc(Nc4ccc(OCCCN5CCCCC5)cc4)n3)cc2c1,4.709965389,454.24810958000006,7,2,5.766800000000004,True
1477,CHEMBL486284,19600.0,nM,O=C1NC(=O)c2ccccc2/C1=C/Nc1ccc(CN2CCCCC2)cc1,4.707743929,361.179026976,4,2,3.395500000000002,True
1478,CHEMBL1823632,19700.0,nM,O=C(NC(c1ccccc1)C1CCNCC1)c1ccc2cnccc2c1,4.705533774,345.184112356,3,2,3.7055000000000025,True
1479,CHEMBL3658032,20000.0,nM,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCN(C(=O)OC(C)(C)C)CC4)nn3)nc2n1C1CCCC1,4.698970004,535.3019360440001,10,1,3.8389000000000024,True
1481,CHEMBL513336,20000.0,nM,OCCn1cnc2c(NCc3ccccc3)nc(NCc3ccc(Br)cc3)nc21,4.698970004,452.09602139200007,7,3,3.8053000000000017,True
1482,CHEMBL488811,20000.0,nM,COc1cc(C2=C(c3cn(COc4ccccc4)c4ccccc34)CNC2=O)cc(OC)c1OC,4.698970004,470.18417193199997,6,1,4.744200000000004,True
1483,CHEMBL151,20000.0,nM,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,4.698970004,286.04773804,6,4,2.2824000000000004,True
1484,CHEMBL486302,20400.0,nM,O=C1NC(=O)c2ccc(I)cc2/C1=C/Nc1ccc(CN2CCCCC2)cc1,4.690369833,487.075674944,4,2,4.000100000000003,True
1485,CHEMBL1089405,20900.0,nM,CP(C)(=O)c1ccc(Nc2nc(C3CCCC3)nc3c2ncn3CCc2cccc(O)c2)cc1,4.679853714,475.21371183,7,2,5.423800000000005,True
1486,CHEMBL2163610,21000.0,nM,CC(=O)c1ccc(-c2ccc(Nc3c(C)c(N[C@H]4CCCNC4)nc4ccnn34)cc2)s1,4.677780705,446.1888804520001,8,3,4.876320000000003,True
1487,CHEMBL1823653,21000.0,nM,O=C(NC(c1ccc(Cl)c(Cl)c1)C1CCCNC1)c1ccc2cnccc2c1,4.677780705,413.10616765200007,3,2,5.012300000000003,True
1488,CHEMBL2348165,21000.0,nM,Nc1nccc(-n2ccc3ncccc32)n1,4.677780705,211.08579528799999,5,1,1.3977,True
1489,CHEMBL482883,21000.0,nM,O=C1NC(=O)c2ccccc2/C1=C/Nc1ccc(CN2CCOCC2)cc1,4.677780705,363.15829153199996,5,2,2.2417999999999996,True
1490,CHEMBL474807,21500.0,nM,CN1CCN(c2cccc3[nH]c(-c4n[nH]c5cc(-c6ccc(CO)cc6)ccc45)nc23)CC1,4.66756154,438.21680945199995,5,3,4.017300000000002,True
1492,CHEMBL322640,22000.0,nM,CN(C)CC(O)COc1ccc(Nc2cc(Nc3cc(Cl)ccc3Cl)ncn2)cc1,4.657577319,447.1228803360001,7,3,4.571900000000003,True
1493,CHEMBL100675,22000.0,nM,Cc1ccc(Cl)c(Nc2cc(Nc3ccc(OCC(O)CN(C)C)cc3)ncn2)c1,4.657577319,427.17750275200007,7,3,4.2269200000000025,True
1494,CHEMBL2163616,22000.0,nM,COCCOc1ccc(Nc2c(C)c(N[C@H]3CCCNC3)nc3ccnn23)cc1,4.657577319,396.22737413600004,8,3,2.9704200000000007,True
1495,CHEMBL1235213,23000.0,nM,CCOc1ccc(Nc2c(C)c(N[C@H]3CCCNC3)nc3ccnn23)cc1,4.638272164,366.21680945200006,7,3,3.3439200000000016,True
